mode_sistem,arah_sektor,us_kiri,us_tengah,us_kanan,pwm_kiri,pwm_kanan
MUNDUR,KIRI,51,65,50,154,135
MENGIKUTI,KIRI,54,65,48,215,192
MENCARI,KIRI,56,64,46,131,174
MENCARI,HILANG,57,63,44,203,100
MENGHINDAR,KIRI,59,62,42,137,151
MENCARI,KIRI,60,61,39,124,178
MENGIKUTI,KIRI,60,59,36,207,203
MENCARI,TENGAH,60,57,34,142,180
MENGIKUTI,KIRI,59,55,31,249,188
MENCARI,TENGAH,59,53,28,216,204
MENGIKUTI,KANAN,57,51,26,142,132
MUNDUR,TENGAH,56,48,24,151,149
MENCARI,KIRI,54,46,22,233,144
BERHENTI,KIRI,51,44,20,199,118
MENCARI,KIRI,49,42,19,238,150
MUNDUR,KANAN,46,40,18,194,220
MENGIKUTI,KIRI,43,39,17,248,136
MENGIKUTI,HILANG,40,37,17,142,172
MUNDUR,HILANG,37,36,17,174,100
MENGHINDAR,TENGAH,34,36,18,225,208
MENCARI,TENGAH,31,35,19,226,125
MENGHINDAR,KANAN,29,35,20,238,235
BERHENTI,HILANG,26,35,22,239,159
MENGIKUTI,HILANG,24,36,24,143,249
MENGIKUTI,KIRI,23,37,26,113,239
MENGIKUTI,HILANG,21,38,29,206,202
MUNDUR,KIRI,20,39,31,152,208
BERHENTI,TENGAH,20,41,34,121,134
MUNDUR,KANAN,20,43,37,184,153
MENCARI,HILANG,21,45,39,176,217
BERHENTI,TENGAH,21,47,42,245,233
MENCARI,KANAN,23,50,44,246,187
BERHENTI,KIRI,25,52,46,186,180
BERHENTI,KIRI,27,54,48,189,174
BERHENTI,TENGAH,29,56,50,181,242
BERHENTI,HILANG,32,58,51,231,193
MENGHINDAR,KANAN,34,60,52,172,215
BERHENTI,KANAN,37,61,53,128,123
MENGHINDAR,HILANG,40,63,53,227,196
BERHENTI,KANAN,43,64,53,168,185
MUNDUR,KANAN,46,65,52,115,111
MUNDUR,TENGAH,49,65,51,164,238
BERHENTI,HILANG,52,65,50,228,191
MENCARI,HILANG,54,65,48,244,215
MUNDUR,HILANG,56,64,46,254,211
MUNDUR,KANAN,58,63,44,119,211
