timestamp,us_kiri,us_tengah,us_kanan,arah_sektor,mode_sistem,pwm_kiri,pwm_kanan
1785982996578,84.9,91,110.1,HILANG,MENCARI,120,-120
1785982996678,89.1,94.3,107.7,TENGAH,MENGIKUTI,150,150
1785982996778,92.9,90.6,108.2,TENGAH,MENGIKUTI,150,150
1785982996879,99.4,90.5,111.1,TENGAH,MENGIKUTI,150,150
1785982996980,102.6,98.4,111.1,TENGAH,MENGIKUTI,150,150
1785982997080,108.7,91.9,108.3,TENGAH,MENGIKUTI,150,150
1785982997181,109,84.3,107.4,TENGAH,MENGIKUTI,150,150
1785982997282,111,76.7,105.8,TENGAH,MENGIKUTI,150,150
1785982997382,115.7,75.4,105,TENGAH,MENGIKUTI,150,150
1785982997483,113.7,77.7,98.6,TENGAH,MENGIKUTI,150,150
1785982997584,117,75.2,102.4,TENGAH,MENGIKUTI,150,150
1785982997684,109.2,82.1,94.5,TENGAH,MENGIKUTI,150,150
1785982997785,110,75.4,94.3,TENGAH,MENGIKUTI,150,150
1785982997885,104.5,75.2,91.2,TENGAH,MENGIKUTI,150,150
1785982997986,102.4,73.1,89.5,TENGAH,MENGIKUTI,150,150
1785982998087,95.5,70.6,92.5,TENGAH,MENGIKUTI,150,150
1785982998187,94.5,65.7,97.3,TENGAH,MENGIKUTI,150,150
1785982998287,95.4,70.7,95,TENGAH,MENGIKUTI,150,150
1785982998388,103.2,65.9,97.3,TENGAH,MENGIKUTI,150,150
1785982998489,103.7,69.7,90.8,TENGAH,MENGIKUTI,150,150
1785982998589,111.1,73.6,84.5,TENGAH,MENGIKUTI,150,150
1785982998690,107.5,72.9,78.2,TENGAH,MENGIKUTI,150,150
1785982998790,112.2,75,82.7,TENGAH,MENGIKUTI,150,150
1785982998891,112.9,74.3,80.5,TENGAH,MENGIKUTI,150,150
1785982998992,115.5,75.4,75.6,KANAN,MENGIKUTI,150,75
1785982999092,111.3,80.1,76.4,KANAN,MENGIKUTI,150,75
1785982999193,115.6,84.9,69.2,KANAN,MENGIKUTI,150,75
1785982999293,116.2,79.9,74.6,KANAN,MENGIKUTI,150,75
1785982999394,121.2,81.6,69.6,KANAN,MENGIKUTI,150,75
1785982999494,113.8,75.3,72.1,KANAN,MENGIKUTI,150,75
1785982999595,115.4,70,77.8,KANAN,MENGIKUTI,150,75
1785982999695,113.5,69.4,74.6,KIRI,MENGIKUTI,75,150
1785982999796,115.9,74.6,68,KIRI,MENGIKUTI,75,150
1785982999896,123.8,75.2,60.8,KIRI,MENGIKUTI,75,150
1785982999997,122.6,68.7,60.9,KIRI,MENGIKUTI,75,150
1785983000097,127.5,71.8,63.4,KANAN,MENGIKUTI,150,75
1785983000197,130,79.6,69.6,KANAN,MENGIKUTI,150,75
1785983000298,122.7,78.9,76.9,KANAN,MENGIKUTI,150,75
1785983000399,119.7,84.3,78.1,KANAN,MENGIKUTI,150,75
1785983000499,125.5,84.8,73.4,KANAN,MENGIKUTI,150,75
1785983000600,127.9,80.5,77.5,KANAN,MENGIKUTI,150,75
1785983000701,121.6,73.1,72.9,KANAN,MENGIKUTI,150,75
1785983000801,129,78.7,77,KANAN,MENGIKUTI,150,75
1785983000902,127.3,82.2,75.7,HILANG,MENCARI,120,-120
1785983001003,131.8,79.1,71.3,HILANG,MENCARI,120,-120
1785983001104,132.4,82.3,77.8,HILANG,MENCARI,120,-120
1785983001204,126.8,82.7,83.9,HILANG,MENCARI,120,-120
1785983001305,123.4,82.7,90.4,HILANG,MENCARI,120,-120
1785983001406,127.2,80.9,82.6,HILANG,MENCARI,120,-120
1785983001506,126,73.3,81.6,HILANG,MENCARI,120,-120
1785983001607,118.7,75.7,86.1,HILANG,MENCARI,120,-120
1785983001707,113,82.6,80.2,HILANG,MENCARI,120,-120
1785983001808,108.4,79.5,80.6,HILANG,MENCARI,120,-120
1785983001909,101,75.5,75.1,HILANG,MENCARI,120,-120
1785983002009,97.6,72,77.4,HILANG,MENCARI,120,-120
1785983002110,96.6,64.6,74,HILANG,MENCARI,120,-120
1785983002211,100.7,66.6,78.8,HILANG,MENCARI,120,-120
1785983002312,98.5,59.5,80.2,HILANG,MENCARI,120,-120
1785983002413,102.6,59.8,84.9,HILANG,MENCARI,120,-120
1785983002514,96.1,65.6,92.8,HILANG,MENCARI,120,-120
1785983002614,99,71.5,99.7,HILANG,MENCARI,120,-120
1785983002715,95.4,71.1,97.7,KIRI,MENGIKUTI,75,150
1785983002815,90.9,78.2,105.4,KIRI,MENGIKUTI,75,150
1785983002916,87.7,71.7,101.4,KIRI,MENGIKUTI,75,150
1785983003016,85.9,72.8,107.3,KIRI,MENGIKUTI,75,150
1785983003117,91.2,78.8,109.5,KIRI,MENGIKUTI,75,150
1785983003217,92.9,76.5,116.4,KIRI,MENGIKUTI,75,150
1785983003318,88.6,81.8,120.3,KIRI,MENGIKUTI,75,150
1785983003419,83.3,86.5,128,KIRI,MENGIKUTI,75,150
1785983003519,81,86.6,129.7,KIRI,MENGIKUTI,75,150
1785983003620,87.2,81.2,129.5,KIRI,MENGIKUTI,75,150
1785983003721,91.3,86.4,125.4,KIRI,MENGIKUTI,75,150
1785983003822,90.2,91.4,123.4,KIRI,MENGIKUTI,75,150
1785983003923,87.9,93.7,117.6,KIRI,MENGIKUTI,75,150
1785983004023,93.8,98.8,120.5,KIRI,MENGIKUTI,75,150
1785983004124,87.1,91.1,121.5,KANAN,MENGIKUTI,150,75
1785983004225,93.3,96,128.4,KANAN,MENGIKUTI,150,75
1785983004325,89,103.4,121.8,KANAN,MENGIKUTI,150,75
1785983004426,96.2,104.4,122.8,KANAN,MENGIKUTI,150,75
1785983004526,93.9,102.3,128.8,KANAN,MENGIKUTI,150,75
1785983004627,100.7,108.5,126.3,KANAN,MENGIKUTI,150,75
1785983004727,100.8,109.4,125.7,KANAN,MENGIKUTI,150,75
1785983004828,106.5,108.3,128.1,KANAN,MENGIKUTI,150,75
1785983004929,102.9,113.4,128.5,KANAN,MENGIKUTI,150,75
1785983005029,102.9,111.7,127.9,KANAN,MENGIKUTI,150,75
1785983005130,101.2,111.9,135.2,KANAN,MENGIKUTI,150,75
1785983005231,98.3,107.1,136.8,KIRI,MENGIKUTI,75,150
1785983005331,99.7,104.3,131.1,KIRI,MENGIKUTI,75,150
1785983005432,94.6,106.1,123.5,KIRI,MENGIKUTI,75,150
1785983005533,87.7,104.2,118.8,KIRI,MENGIKUTI,75,150
1785983005633,80.4,110.3,111.2,KIRI,MENGIKUTI,75,150
1785983005734,78.2,104.8,118.4,HILANG,MENCARI,120,-120
1785983005835,79.2,106.5,122.8,HILANG,MENCARI,120,-120
1785983005935,72.2,107.7,127.1,HILANG,MENCARI,120,-120
1785983006036,71.8,110.1,124.1,HILANG,MENCARI,120,-120
1785983006136,69.4,112.9,123.6,HILANG,MENCARI,120,-120
1785983006237,63.5,114.5,130.2,HILANG,MENCARI,120,-120
1785983006337,60.4,111.3,136.2,TENGAH,MENGIKUTI,150,150
1785983006438,65.4,113.5,135,TENGAH,MENGIKUTI,150,150
1785983006539,72.4,116.9,138.4,TENGAH,MENGIKUTI,150,150
1785983006639,70.7,124.4,146.1,HILANG,MENCARI,120,-120
1785983006740,70.7,122.3,143.1,HILANG,MENCARI,120,-120
1785983006841,75.7,128.6,144.6,HILANG,MENCARI,120,-120
1785983006941,70.2,131.6,144.2,HILANG,MENCARI,120,-120
1785983007042,72.1,126.1,148,HILANG,MENCARI,120,-120
1785983007142,66.6,125.8,150,HILANG,MENCARI,120,-120
1785983007243,67.5,118,145.7,HILANG,MENCARI,120,-120
1785983007344,60.3,116.4,138.9,HILANG,MENCARI,120,-120
1785983007445,62.2,110.1,146.6,HILANG,MENCARI,120,-120
1785983007545,65.7,110.7,146.8,HILANG,MENCARI,120,-120
1785983007646,64.9,107,147.8,HILANG,MENCARI,120,-120
1785983007746,63.4,109.9,140.6,HILANG,MENCARI,120,-120
1785983007847,69.1,105,146.2,HILANG,MENCARI,120,-120
1785983007947,69.6,103.5,145.5,HILANG,MENCARI,120,-120
1785983008048,76.1,107,150,HILANG,MENCARI,120,-120
1785983008149,69.4,112.6,150,HILANG,MENCARI,120,-120
1785983008250,61.5,111.2,150,HILANG,MENCARI,120,-120
1785983008350,55.5,106.1,150,HILANG,MENCARI,120,-120
1785983008451,47.6,103.5,150,HILANG,MENCARI,120,-120
1785983008552,40.8,96.7,150,HILANG,MENCARI,120,-120
1785983008653,47.2,91.5,150,HILANG,MENCARI,120,-120
1785983008754,49.9,90.8,150,HILANG,MENCARI,120,-120
1785983008855,47.4,96.9,150,HILANG,MENCARI,120,-120
1785983008955,50.9,103.7,149.9,HILANG,MENCARI,120,-120
1785983009056,44.2,107.8,150,HILANG,MENCARI,120,-120
1785983009156,36.8,104.8,150,HILANG,MENCARI,120,-120
1785983009257,34.1,106.8,143.9,HILANG,MENCARI,120,-120
1785983009357,39.6,113.3,138,HILANG,MENCARI,120,-120
1785983009458,33.9,111.3,132.2,HILANG,MENCARI,120,-120
1785983009559,37.9,110.2,134.6,HILANG,MENCARI,120,-120
1785983009660,29.9,105.3,140.3,HILANG,MENCARI,120,-120
1785983009760,30.8,110.6,139.5,HILANG,MENCARI,120,-120
1785983009861,27.3,112,131.6,HILANG,MENCARI,120,-120
1785983009962,27,114.2,128.5,HILANG,MENCARI,120,-120
1785983010063,25.4,113.3,122.6,HILANG,MENCARI,120,-120
1785983010164,27.5,105.6,116.9,HILANG,MENCARI,120,-120
1785983010265,35.4,112.8,124.4,HILANG,MENCARI,120,-120
1785983010365,33.4,113.6,125,HILANG,MENCARI,120,-120
1785983010466,35.5,112.1,117.5,HILANG,MENCARI,120,-120
1785983010566,32.3,106.6,110.2,HILANG,MENCARI,120,-120
1785983010667,37.9,112,113.8,TENGAH,MENGIKUTI,150,150
1785983010767,40.1,106.7,106.4,TENGAH,MENGIKUTI,150,150
1785983010868,44.3,112.4,102.4,TENGAH,MENGIKUTI,150,150
1785983010969,47.7,117.8,98.1,TENGAH,MENGIKUTI,150,150
1785983011070,52.4,112.1,92.1,TENGAH,MENGIKUTI,150,150
1785983011171,56.1,110,97.5,TENGAH,MENGIKUTI,150,150
1785983011271,59.8,107.4,91.6,TENGAH,MENGIKUTI,150,150
1785983011372,59.9,102,93,TENGAH,MENGIKUTI,150,150
1785983011473,58.8,105.9,88.8,TENGAH,MENGIKUTI,150,150
1785983011574,59.6,113.3,94.8,TENGAH,MENGIKUTI,150,150
1785983011675,64.1,105.6,87.6,TENGAH,MENGIKUTI,150,150
1785983011775,68.4,102.4,86.6,TENGAH,MENGIKUTI,150,150
1785983011876,74.8,105.2,80.9,TENGAH,MENGIKUTI,150,150
1785983011976,68.7,113,79.6,TENGAH,MENGIKUTI,150,150
1785983012077,63.5,112,73.3,TENGAH,MENGIKUTI,150,150
1785983012177,59.4,117.6,79.8,TENGAH,MENGIKUTI,150,150
1785983012278,57.2,124,79,TENGAH,MENGIKUTI,150,150
1785983012379,54.6,125.8,85.6,TENGAH,MENGIKUTI,150,150
1785983012479,60.6,121.8,81.1,TENGAH,MENGIKUTI,150,150
1785983012580,66,128.2,77.9,TENGAH,MENGIKUTI,150,150
1785983012681,63.5,134.5,78,TENGAH,MENGIKUTI,150,150
1785983012782,64.5,142.4,80.9,TENGAH,MENGIKUTI,150,150
1785983012883,61,149.3,74.1,TENGAH,MENGIKUTI,150,150
1785983012983,64.9,145.6,79,TENGAH,MENGIKUTI,150,150
1785983013084,72.3,141.1,84.7,TENGAH,MENGIKUTI,150,150
1785983013185,71.2,137.2,87.2,TENGAH,MENGIKUTI,150,150
1785983013285,68.9,131.3,93.8,TENGAH,MENGIKUTI,150,150
1785983013386,74.3,134.8,92.3,TENGAH,MENGIKUTI,150,150
1785983013486,67.3,132.7,89.3,TENGAH,MENGIKUTI,150,150
1785983013586,70.8,128.7,84.4,TENGAH,MENGIKUTI,150,150
1785983013687,75.5,130.4,79.4,TENGAH,MENGIKUTI,150,150
1785983013787,75.6,127.6,77.4,TENGAH,MENGIKUTI,150,150
1785983013888,77.9,129.4,78.6,TENGAH,MENGIKUTI,150,150
1785983013989,78.2,123.5,79.9,TENGAH,MENGIKUTI,150,150
1785983014090,70.7,124.9,74.5,TENGAH,MENGIKUTI,150,150
1785983014190,72.5,127.1,73.1,TENGAH,MENGIKUTI,150,150
1785983014291,66,119.7,70,TENGAH,MENGIKUTI,150,150
1785983014392,61.4,119.9,69.3,TENGAH,MENGIKUTI,150,150
1785983014493,59.3,112.7,70.5,TENGAH,MENGIKUTI,150,150
1785983014593,64.3,107,70.8,TENGAH,MENGIKUTI,150,150
1785983014694,70.3,108.3,64.6,TENGAH,MENGIKUTI,150,150
1785983014795,69.5,111.4,65.9,TENGAH,MENGIKUTI,150,150
1785983014895,68.1,104.2,59.9,TENGAH,MENGIKUTI,150,150
1785983014996,67.6,111.2,63.1,TENGAH,MENGIKUTI,150,150
1785983015097,73.6,103.5,55.1,TENGAH,MENGIKUTI,150,150
1785983015198,67.8,99.4,49.3,TENGAH,MENGIKUTI,150,150
1785983015298,71.8,107.1,45.2,TENGAH,MENGIKUTI,150,150
1785983015399,67.3,104,42,TENGAH,MENGIKUTI,150,150
1785983015500,60,109.7,42.8,TENGAH,MENGIKUTI,150,150
1785983015600,55.5,114.5,34.9,TENGAH,MENGIKUTI,150,150
1785983015701,57.4,108.5,35.2,TENGAH,MENGIKUTI,150,150
1785983015802,62.2,115.1,38.7,TENGAH,MENGIKUTI,150,150
1785983015903,54.4,111.6,32.7,TENGAH,MENGIKUTI,150,150
1785983016003,54.5,118.1,32.2,TENGAH,MENGIKUTI,150,150
1785983016104,50.1,112.4,36.4,TENGAH,MENGIKUTI,150,150
1785983016204,48.4,113.6,41,TENGAH,MENGIKUTI,150,150
1785983016305,55.7,113.9,46.9,TENGAH,MENGIKUTI,150,150
1785983016406,60.7,113.4,48.6,TENGAH,MENGIKUTI,150,150
1785983016506,68.6,109.2,40.7,TENGAH,MENGIKUTI,150,150
1785983016607,62.9,102,36.1,TENGAH,MENGIKUTI,150,150
1785983016708,58.3,95.1,37,TENGAH,MENGIKUTI,150,150
1785983016808,65.4,95.8,33.7,TENGAH,MENGIKUTI,150,150
1785983016909,67.3,89,35.2,TENGAH,MENGIKUTI,150,150
1785983017010,60.5,81.6,32.2,TENGAH,MENGIKUTI,150,150
1785983017110,58,75.9,24.8,TENGAH,MENGIKUTI,150,150
1785983017211,53.2,80.4,22.9,TENGAH,MENGIKUTI,150,150
1785983017312,46.1,76.9,26.5,TENGAH,MENGIKUTI,150,150
1785983017413,48,82.3,22.9,TENGAH,MENGIKUTI,150,150
1785983017514,42.4,76.2,23.5,TENGAH,MENGIKUTI,150,150
